System ID,UPC,EAN,Custom SKU,Manufact. SKU,Item,Vendor ID,Qty.,Price,Tax,Brand,Publish to eCom,Season,Department,MSRP,Tax Class,Default Cost,Vendor,Category,Subcategory 1,Subcategory 2,Subcategory 3,Subcategory 4,Subcategory 5,Subcategory 6,Subcategory 7,Subcategory 8,Subcategory 9
2.1E+11,6.28233E+11,,64833,,GreenCraft Cannabis MAC Craft Indica Pre-Rolls 10X0.5G,64833,0,$51.99 ,Yes,GreenCraft Cannabis,Yes,,,51.99,GST Only,38.17,MBLL,Cannabis,Pre-Rolled,,,,,,,,
2.1E+11,6.28233E+11,,63475,,GreenCraft Cannabis Death Bubba Kush Craft Indica Pre-Rolls 10X0.5G,63475,0,$51.99 ,Yes,GreenCraft Cannabis,Yes,,,51.99,GST Only,38.17,MBLL,Cannabis,Pre-Rolled,,,,,,,,
2.1E+11,8.41432E+11,2.1E+11,64396,1.00841E+30,Spinach Sourz Peach Passion 1:1 THC:CBN Gummy X1,64396,0,$2.70 ,Yes,sourz,Yes,,,2.7,GST Only,1.91,MBLL,Cannabis,Edibles,,,,,,,,
2.1E+11,8.41432E+11,2.1E+11,64395,1.00841E+30,Spinach Sourz Strawberry Watermelon 1:1 THC:CBG Gummy X1,64395,0,$2.70 ,Yes,sourz,Yes,,,2.7,GST Only,1.91,MBLL,Cannabis,Edibles,,,,,,,,
2.1E+11,,2.1E+11,JCOR03,,Just Chilled Orange 60ml MB 3mg,60ORC03,9,$39.99 ,Yes,Just,Yes,,,39.99,Item,29.4,True Northern,E-Liquid FULL TAX,Freebase Nicotine,,,,,,,,
2.1E+11,,2.1E+11,JCOR06,,Just Chilled Orange 60ml MB 6mg,60ORC06,8,$39.99 ,Yes,Just,Yes,,,39.99,Item,29.4,True Northern,E-Liquid FULL TAX,Freebase Nicotine,,,,,,,,
2.1E+11,,2.1E+11,JUOR03,,Just Orange 60ml MB 3mg,60ORG03,8,$39.99 ,Yes,Just,Yes,,,39.99,Item,29.4,True Northern,E-Liquid FULL TAX,Freebase Nicotine,,,,,,,,
2.1E+11,,2.1E+11,JUOR06,,Just Orange 60ml MB 6mg,60ORG06,6,$39.99 ,Yes,Just,Yes,,,39.99,Item,29.4,True Northern,E-Liquid FULL TAX,Freebase Nicotine,,,,,,,,
2.1E+11,,2.1E+11,JUOR20,,Just Orange Salt 30ml MB 20mg,30ORGS20,11,$32.99 ,Yes,Just,Yes,,,32.99,Item,22.17,True Northern,E-Liquid FULL TAX,Salt Nicotine,,,,,,,,
2.1E+11,,2.1E+11,,,Puffco Peak Replacement Glass,,1,$119.99 ,Yes,Puffco,Yes,,,119.99,Item,74.9,Turning Point Brands,Cannabis Accessories,Glass Accessories,,,,,,,,
2.1E+11,,2.1E+11,,,Puffco Peak Pro Replacement Glass,,2,$129.99 ,Yes,Puffco,Yes,,,129.99,Item,79.99,Turning Point Brands,Cannabis Accessories,Glass Accessories,,,,,,,,
